,Film,Pan,Tilt,Pan w. Tilt,Track,Track w. Pan & tilt,Crane,Zoom,Zoom w. Pan & Tilt,BCU,Total,MCU,MS,MLS,LS,VLS,INS,POV,ASL,RA,CU,BERGMAN,Synth
42,"Talented Mr. Ripley, The",12,5,15,19,15,10,3,0,85,79,64,45,51,56,3,6,6,5.0,45,196,0.0,0
43,Pacific Inferno,41,7,26,7,9,0,2,2,21,94,63,71,90,149,28,14,3,5.1,15,79,0.0,0
44,"Rose, The",30,9,25,13,25,2,16,4,58,124,78,55,68,83,5,4,7,7.5,41,152,0.0,0
45,Det sjunde inseglet,17,6,23,15,13,2,0,0,23,76,97,87,58,94,13,5,3,10.0,45,128,1.0,0
46,"Kongress tanzt, der",50,3,13,59,55,20,8,0,12,208,42,142,133,115,50,0,0,17.0,0,17,0.0,0
47,Great Expectations,3,15,26,8,9,3,0,0,13,64,109,95,96,105,1,6,11,9.3,45,80,0.0,0
48,"Sixth Sense, The",8,1,11,46,12,14,5,0,91,97,93,59,59,60,2,15,21,8.6,57,135,0.0,0
49,"signora di Tutti, La",42,4,7,59,31,14,1,0,65,158,81,110,84,80,40,0,0,13.0,0,40,0.0,0
50,Mildred Pierce,36,1,9,71,60,2,0,0,19,179,86,98,95,93,6,5,2,10.2,27,102,0.0,0
51,Nattvardsgästerna,29,5,31,15,14,0,0,0,70,94,115,69,15,65,12,7,2,16.5,54,153,1.0,0
52,Snow Falling on Cedars,21,7,30,22,9,9,5,0,196,103,45,30,33,62,5,13,6,5.3,23,128,0.0,0
53,"Old Maid, The",48,4,35,25,56,0,0,0,13,168,118,99,83,47,0,5,4,11.3,43,140,0.0,0
54,"Ronde, la",49,5,9,26,39,24,5,0,5,157,41,163,127,71,25,0,0,18.0,0,66,0.0,0
55,Ansiktet,31,4,23,36,30,0,0,0,65,124,109,87,55,82,3,4,2,11.6,59,97,1.0,0
56,Blind Alley,49,0,19,32,47,0,0,0,26,147,79,111,111,63,2,4,7,10.1,41,107,0.0,0
57,Dracula,25,11,21,32,33,4,2,1,105,129,90,62,52,62,11,15,8,5.0,40,118,0.0,0
58,Djävulens öga,31,4,10,21,22,3,0,0,50,91,68,63,53,57,5,4,2,13.2,52,205,1.0,0
59,Odds Against Tomorrow,55,6,53,9,10,5,0,7,17,145,105,69,73,102,23,12,7,7.3,45,111,0.0,0
60,"Mystery of Mr. Wong, The",54,10,11,13,46,0,0,0,19,134,68,95,194,92,8,8,10,13.3,27,25,0.0,0
61,Liebelei,100,0,15,17,17,3,0,0,10,152,53,112,136,126,42,0,0,17.0,0,18,0.0,0
62,"Cat and the Canary, The",59,4,18,24,39,0,0,0,20,144,99,115,127,95,1,8,11,11.3,29,43,0.0,0
63,Psycho,25,3,17,15,22,1,1,1,35,85,88,81,82,84,12,13,13,6.3,63,119,0.0,0
64,Manhattan,32,0,5,21,21,0,2,0,39,81,66,49,34,120,28,22,1,18.1,42,163,0.0,0
65,Gidget,73,5,17,9,1,16,0,0,28,121,76,90,83,103,4,3,8,11.7,34,118,0.0,0
66,"Invisible Killer, The",52,2,11,21,30,0,0,0,15,116,93,119,126,74,4,6,7,8.2,21,69,0.0,0
67,Dark City,15,10,11,22,1,6,35,0,153,100,44,39,42,97,12,14,7,2.0,26,112,0.0,0
68,Det regnar på vår kärlek,35,10,20,28,35,4,0,0,35,132,103,106,45,58,6,8,2,16.3,39,142,1.0,0
69,"Queen of Spades, The",11,20,30,38,35,3,0,0,64,137,96,88,77,61,2,16,10,10.3,34,112,0.0,0
70,Hon dansade en sommar,33,3,17,27,69,0,0,0,25,149,68,104,95,153,8,8,3,19.8,29,47,0.0,0
71,Angela's Ashes,21,3,14,9,4,1,0,1,52,53,72,60,68,88,4,10,4,3.9,31,152,0.0,0
72,"Almost Perfect Affair, An",22,3,14,6,11,1,2,1,70,60,93,51,26,51,9,7,12,4.2,64,199,0.0,0
73,"Omen, The",2,6,25,19,10,2,0,0,131,64,55,53,46,75,6,15,4,5.6,37,133,0.0,0
74,"Minus Man, The",14,8,21,13,10,10,3,0,125,79,66,47,46,39,0,15,10,5.5,50,177,0.0,0
75,Viskingar och rop,43,15,34,13,28,0,9,10,211,152,57,37,30,50,1,13,3,16.1,41,112,1.0,0
76,Crazy in Alabama,16,6,12,27,21,7,6,0,37,95,106,46,43,47,3,8,8,5.4,45,219,0.0,0
77,"Go Johnny, Go!",38,1,0,9,33,4,0,0,6,85,84,112,116,84,3,4,25,8.2,35,95,0.0,0
78,Till glädje,34,7,26,22,74,16,0,0,47,179,95,90,53,85,22,7,1,20.1,25,100,1.0,0
79,"Plaisir, le",87,4,28,17,72,42,31,0,0,281,46,87,120,153,87,0,0,21.0,0,7,0.0,0
80,Kameradschaft,53,7,13,23,42,3,7,0,9,148,42,82,125,204,6,0,0,11.0,0,32,0.0,0
81,Kvinnors vantan,36,6,55,13,30,2,0,0,83,142,53,69,46,88,18,20,5,14.9,25,144,1.0,0
82,Wise Blood,37,2,43,12,26,0,4,7,44,131,85,67,58,60,9,6,13,9.8,65,176,0.0,0
83,Persona,27,7,28,14,9,2,0,0,238,87,51,20,12,67,4,25,7,17.3,16,101,1.0,0
84,"Behemoth, The Sea Monster",20,7,14,23,8,1,0,1,45,74,52,45,65,141,44,19,12,5.6,25,108,0.0,0
85,Höstsonaten,25,8,45,2,13,2,3,12,267,110,44,32,17,57,2,4,3,18.2,48,82,1.0,0
86,Ride Lonesome,23,2,12,9,11,4,12,0,25,73,103,69,116,43,7,3,16,7.8,57,137,0.0,0
87,En passion,33,13,45,17,6,0,0,1,229,115,28,33,24,42,5,14,3,10.7,38,140,1.0,0
88,Törst,41,7,35,28,92,0,0,0,48,203,113,66,52,76,39,21,2,21.5,25,83,1.0,0
89,Life,14,2,3,19,18,6,4,0,9,66,129,81,69,72,2,2,6,4.5,55,138,0.0,0
90,"Saint Strikes Back, The",52,6,10,24,42,0,0,0,55,134,90,66,107,32,15,9,7,8.4,27,135,0.0,0
91,"Five Pennies, The",28,4,11,30,34,8,4,2,23,121,99,106,132,90,4,7,7,15.9,34,47,0.0,0
92,Skammen,71,8,39,11,21,0,0,0,110,150,59,75,38,102,16,12,4,14.8,23,100,1.0,0
93,"Next of Kin, The",10,33,14,31,16,0,0,0,28,104,84,72,85,113,27,17,4,7.0,22,92,0.0,0
94,Musik i mörker,34,4,19,34,34,2,0,0,27,127,127,113,59,51,1,5,0,12.1,32,121,1.0,0
